등급,piece_id,작곡가,곡,영문,길이_분,상태,사유,위험,비고,MBID
A,168,로시니,서곡 <윌리엄 텔>,William Tell Overture,12,대기,,낮음,,
A,169,로시니,서곡 <도둑 까치>,La gazza ladra Overture,10,대기,,낮음,,
A,202,림스키코르사코프,교향시 <셰헤라자데>,Symphonic Suite <Scheherazade>,45,대기,,낮음,,
A,204,림스키코르사코프,스페인 기상곡,Capriccio Espagnol,16,대기,,낮음,,
A,205,림스키코르사코프,러시아 부활절 축제 서곡,Russian Easter Festival Overture,15,대기,,낮음,,
A,215,말러,"교향곡 2번 C단조 ""부활""","Symphony No. 2 in C minor ""Resurrection""",85,대기,,낮음,,
A,216,말러,교향곡 5번 C#단조,Symphony No. 5 in C# minor,70,대기,,낮음,,
A,217,말러,"교향곡 1번 D장조 ""거인""","Symphony No. 1 in D major ""Titan""",55,대기,,낮음,,
A,218,말러,"교향곡 8번 E♭장조 ""천인 교향곡""","Symphony No. 8 in E♭ major ""Symphony of a Thousand""",80,대기,,낮음,,
A,219,말러,대지의 노래,Das Lied von der Erde,65,대기,,낮음,,
A,360,메시앙,시간의 종말을 위한 4중주,Quatuor pour la fin du Temps,50,대기,,낮음,,
A,362,메시앙,투랑갈릴라 교향곡,Turangalîla-Symphonie,80,대기,,낮음,,
A,189,무소르크스키,피아노 모음곡 <전람회의 그림>,Pictures at an Exhibition,35,대기,,낮음,190 은 라벨 편곡 관현악판이다. 편성이 다르므로 두 곡의 연주를 섞지 않는다,
A,190,무소르크스키,<전람회의 그림> (라벨 편곡 관현악 버전),Pictures at an Exhibition (Orch. by Ravel),35,대기,,낮음,189 는 피아노 원곡이다. 편성이 다르므로 두 곡의 연주를 섞지 않는다,
A,191,무소르크스키,교향시 <민둥산의 하룻밤>,Symphonic Poem <Night on Bald Mountain>,12,대기,,낮음,,
A,115,무치오 클레멘티,"피아노 소나타 G단조 ""버림받은 디도""","Piano Sonata in G minor ""Didone abbandonata""",25,대기,,낮음,,
A,365,베르크,"바이올린 협주곡 ""어느 천사를 추억하며""","Violin Concerto ""To the Memory of an Angel""",26,대기,,낮음,,
A,366,베르크,서정 모음곡,Lyric Suite,28,대기,,낮음,,
A,170,베를리오즈,환상 교향곡,Symphonie fantastique,50,대기,,낮음,,
A,171,베를리오즈,"<파우스트의 겁벌> 중 ""헝가리 행진곡""","""Hungarian March"" (Rákóczi March) from <La damnation de Faust>",5,대기,,낮음,,
A,172,베를리오즈,서곡 <로마의 사육제>,Roman Carnival Overture,9,대기,,낮음,,
A,367,베베른,교향곡,Symphony,10,대기,,낮음,,
A,368,베베른,현악 4중주를 위한 5개의 악장,Five Movements for String Quartet,12,대기,,낮음,,
A,369,베베른,오케스트라를 위한 6개의 소품,Six Pieces for Orchestra,11,대기,,낮음,,
A,182,브루크너,"교향곡 4번 E♭장조 ""낭만적""","Symphony No. 4 in E♭ major ""Romantic""",68,대기,,낮음,,
A,183,브루크너,교향곡 7번 E장조,Symphony No. 7 in E major,65,대기,,낮음,,
A,184,브루크너,"모테트 ""이 장소는 하느님이 만드셨다""",Motet <Locus iste>,3,대기,,낮음,,
A,356,브리튼,청소년을 위한 관현악 입문,The Young Person's Guide to the Orchestra,18,대기,,낮음,,
A,358,브리튼,전쟁 레퀴엠,War Requiem,85,대기,,낮음,,
A,359,브리튼,첼로 모음곡 1번,Cello Suite No. 1,25,대기,,낮음,,
A,196,비제,교향곡 C장조,Symphony in C major,30,대기,,낮음,,
A,379,사티,그노시엔 1번,Gnossienne No. 1,4,대기,,낮음,,
A,380,사티,난 그대를 원해요,Je te veux (I Want You),4,대기,,낮음,,
A,370,아이브스,대답 없는 질문,The Unanswered Question,6,대기,,낮음,,
A,371,아이브스,교향곡 4번,Symphony No. 4,30,대기,,낮음,,
A,372,아이브스,"피아노 소나타 2번 ""콩코드""","Piano Sonata No. 2 ""Concord, Mass.""",45,대기,,낮음,,
A,373,아이브스,<뉴잉글랜드의 세 장소>,Three Places in New England,19,대기,,낮음,,
A,349,오르프,카르미나 부라나,Carmina Burana,65,대기,,낮음,,
A,350,오르프,"<카르미나 부라나> 중 ""오 포르투나""",O Fortuna (from <Carmina Burana>),3,대기,,낮음,,
A,110,요한 슈타미츠,클라리넷 협주곡 B♭장조,Clarinet Concerto in B♭ major,17,대기,,낮음,,
A,111,요한 슈타미츠,"신포니아 D장조 ""만하임""",Symphony in D major,15,대기,,낮음,,
A,112,요한 슈타미츠,트럼펫 협주곡 D장조,Trumpet Concerto in D major,16,대기,,낮음,,
A,185,요한 슈트라우스 2세,왈츠 <아름답고 푸른 도나우>,Waltz <The Blue Danube>,10,대기,,낮음,,
A,188,요한 슈트라우스 2세,왈츠 <빈 숲 속의 이야기>,Waltz <Tales from the Vienna Woods>,12,대기,,낮음,,
A,176,클라라 슈만,피아노 3중주 G단조,Piano Trio in G minor,29,대기,,낮음,,
A,177,클라라 슈만,피아노 협주곡 A단조,Piano Concerto in A minor,22,대기,,낮음,,
A,178,클라라 슈만,3개의 로망스 (바이올린과 피아노를 위한),Three Romances for Violin and Piano,10,대기,,낮음,,
A,165,파가니니,"바이올린 협주곡 2번 B단조 ""라 캄파넬라""","Violin Concerto No. 2 in B minor ""La Campanella""",30,대기,,낮음,,
A,166,파가니니,바이올린 협주곡 1번 D장조,Violin Concerto No. 1 in D major,35,대기,,낮음,,
A,206,포레,레퀴엠,Requiem,35,대기,,낮음,,
A,207,포레,파반느,Pavane,6,대기,,낮음,,
A,208,포레,시칠리엔,Sicilienne,4,대기,,낮음,,
A,209,포레,가곡 <꿈을 꾼 후에>,Après un rêve,3,대기,,낮음,,
A,179,프랑크,바이올린 소나타 A장조,Violin Sonata in A major,28,대기,,낮음,,
A,180,프랑크,교향곡 D단조,Symphony in D minor,40,대기,,낮음,,
A,181,프랑크,생명의 양식,Panis angelicus (Messe à trois voix),4,대기,,낮음,,
A,374,피아졸라,리베르탱고,Libertango,3,대기,,낮음,,
A,375,피아졸라,망각,Oblivion,4,대기,,낮음,,
A,376,피아졸라,아디오스 노니노,Adiós Nonino,5,대기,,낮음,,
A,377,피아졸라,부에노스 아이레스의 사계,The Four Seasons of Buenos Aires (Estaciones Porteñas),25,대기,,낮음,,
A,354,필립 글래스,피아노 연습곡 6번,Piano Etude No. 6,7,대기,,낮음,,
A,381,하차투리안,"<가야네> 중 ""칼춤""",Sabre Dance (from <Gayane>),3,대기,,낮음,,
A,383,하차투리안,바이올린 협주곡 D단조,Violin Concerto in D minor,35,대기,,낮음,,
A,384,하차투리안,가면무도회 모음곡,Masquerade Suite,17,대기,,낮음,,
A,61,글루크,오페라 <오르페오와 에우리디체>,Opera <Orfeo ed Euridice>,90,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,64,글루크,오페라 <알체스테>,Opera <Alceste>,150,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,65,글루크,오페라 <타우리데의 이피제니>,Opera <Iphigénie en Tauride>,120,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,173,글린카,오페라 <루슬란과 류드밀라> 서곡,Opera <Ruslan and Lyudmila> Overture,5,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,174,글린카,오페라 <황제를 위한 삶>,Opera <A Life for the Tsar>,180,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,199,드보르자크,"슬라브 무곡 (1권, 2권)",Slavonic Dances (Op. 46 & Op. 72),70,대기,,중간,1권(op. 46)·2권(op. 72)이 각각 다른 work 이다. 곡을 권 단위로 쪼개거나 낱곡을 고른다,
A,167,로시니,오페라 <세비야의 이발사>,Opera <The Barber of Seville>,150,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,203,림스키코르사코프,왕벌의 비행 (오페라 <술탄 황제의 이야기>),Flight of the Bumblebee (from <The Tale of Tsar Saltan>),2,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,361,메시앙,20개의 시선으로 아기 예수를 바라보다,Vingt regards sur l'Enfant-Jésus,120,대기,,중간,20곡 120분. 낱곡을 골라야 한다,
A,363,메시앙,새의 카탈로그,Catalogue d'oiseaux,160,대기,,중간,선집이라 MusicBrainz 알갱이가 어긋날 수 있다. 125 와 같은 유형,
A,192,무소르크스키,오페라 <보리스 고두노프>,Opera <Boris Godunov>,180,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,113,무치오 클레멘티,소나티네 Op. 36 (1~6번),Sonatinas,20,대기,,중간,선집이라 MusicBrainz 알갱이가 어긋날 수 있다. 125 와 같은 유형,
A,114,무치오 클레멘티,그라두스 아드 파르나숨,Gradus ad Parnassum,240,대기,,중간,100곡 연습곡집 240분. 어느 곡을 쓸지부터 정해야 한다,
A,364,베르크,오페라 <보체크>,Opera <Wozzeck>,95,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,357,브리튼,오페라 <피터 그라임스>,Opera <Peter Grimes>,145,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,193,비제,오페라 <카르멘>,Opera <Carmen>,160,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,194,비제,"<아를의 여인> 모음곡 1, 2번",L'Arlésienne Suites No. 1 & 2,30,대기,,중간,1번·2번이 각각 다른 work 인데 한 곡으로 묶여 있다. 125 와 같은 유형,
A,195,비제,"오페라 <진주조개잡이> 중 ""신성한 사원에서""",Au fond du temple saint (from <Les pêcheurs de perles>),6,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,164,파가니니,24개의 카프리스,24 Caprices for Solo Violin,75,대기,,중간,24곡 묶음. 보통 24번을 낱곡으로 쓴다,
A,210,푸치니,오페라 <라 보엠>,Opera <La Bohème>,110,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,212,푸치니,오페라 <토스카>,Opera <Tosca>,120,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,213,푸치니,오페라 <나비부인>,Opera <Madama Butterfly>,140,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,214,푸치니,"오페라 <잔니 스키키> 중 ""오 사랑하는 나의 아버지""","""O mio babbino caro"" (from Opera <Gianni Schicchi>)",3,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,353,필립 글래스,오페라 <해변의 아인슈타인>,Opera <Einstein on the Beach>,270,대기,,중간,전곡이라 낱곡을 골라야 한다. 아리아 하나로 sector 를 잡는다,
A,355,필립 글래스,영화 <디 아워스> 사운드트랙,The Hours (Soundtrack),55,대기,,중간,영화 사운드트랙이라 같은 곡의 다른 연주를 3종 모으기 어렵다,
A,382,하차투리안,발레 <스파르타쿠스>,Ballet <Spartacus>,150,대기,,중간,150분 발레. 낱곡(아다지오)을 골라야 한다,
A,388,김동진,가곡 <가고파>,Gagok <Gagopa>,4,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다,
A,389,김동진,가곡 <목련화>,Gagok <Magnolia (Mongnyeonhwa)>,3,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다,
A,390,김동진,가곡 <내 마음은>,Gagok <My Heart is (Nae Maeumeun)>,3,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다,
A,391,김동진,신포니에타 (교향곡 1번),Sinfonietta (Symphony No. 1),25,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다,
A,460,김동진,신아리랑,Sin-Arirang (New Arirang),4,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다,
A,385,백남준,존 케이지를 위한 교향곡,Symphony for John Cage,20,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다,
A,386,백남준,"행위 음악 ""바이올린 솔로""","Action Music ""One for Violin Solo""",5,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다 / 전위·행위 음악. 같은 음악인지 자체가 성립하지 않을 수 있다,
A,387,백남준,조작된 피아노를 위한 에튀드,Etude for Prepared Piano,10,대기,,높음,한국 곡. MusicBrainz work 과 공식 채널 음반 트랙이 둘 다 막힐 수 있다 / 전위·행위 음악. 같은 음악인지 자체가 성립하지 않을 수 있다,
A,351,케이지,4분 33초,"4'33""",4,대기,,높음,무음 작품. 소리가 없으니 검출도 교차 정렬도 성립하지 않는다,
A,352,케이지,조작된 피아노를 위한 소나타와 간주곡,Sonatas and Interludes for Prepared Piano,65,대기,,높음,전위·행위 음악. 같은 음악인지 자체가 성립하지 않을 수 있다,
S,333,거슈윈,오페라 <포기와 베스>,Opera <Porgy and Bess>,180,보류,낱곡 선정 어려움,,F8. 서머타임은 재즈·크로스오버 편곡이 압도적,
S,125,멘델스존,무언가 (선집),Songs Without Words (Lieder ohne Worte),90,보류,MusicBrainz 알갱이 불일치,,8권 48곡 선집인데 권·낱곡 work 만 있다. 권 단위로 쪼개야 한다,
S,330,버르토크,미크로코스모스 (피아노 연습곡집),Mikrokosmos,180,보류,연주 3종 못 모음,,교육용 연습곡집,
S,331,버르토크,6개의 현악 4중주,Six String Quartets,150,보류,연주 3종 못 모음,,전위 작품,
S,336,번스타인,뮤지컬 <웨스트 사이드 스토리>,Musical <West Side Story>,150,보류,낱곡 선정 어려움,,F8. 뮤지컬 넘버라 연주 비교의 뜻이 약하다,
S,339,번스타인,"교향곡 2번 ""불안의 시대""","Symphony No. 2 ""The Age of Anxiety""",36,보류,연주 3종 못 모음,,번스타인 교향곡 2번,
S,451,브람스,자장가,Lullaby (Wiegenlied),2,보류,연주 3종 못 모음,,A2 에서 실제로 막혔다. 편곡이 원곡을 덮어 성악 원곡판을 못 모았다,
S,314,쇤베르크,달에 홀린 피에로,Pierrot Lunaire,35,보류,낭송·해설,,Sprechstimme. 음높이가 고정되지 않아 chroma 를 믿을 수 없다,
S,315,쇤베르크,바르샤바의 생존자,A Survivor from Warsaw,7,보류,낭송·해설,,Sprechstimme,
S,340,안익태,애국가,Aegukga (South Korean National Anthem),2,보류,연주 3종 못 모음,,안익태 애국가. MBID 는 S-TIER-MBID-NOTES.md 에 있다,
S,345,윤이상,오페라 <심청>,Opera <Sim Tjong>,150,보류,낱곡 선정 어려움,,F8. 녹음 자체가 드물다,
S,346,윤이상,첼로 협주곡,Cello Concerto,30,보류,연주 3종 못 모음,,윤이상 첼로 협주곡. MusicBrainz 에 work 은 있다,
S,324,프로코피예프,음악 동화 <피터와 늑대>,Peter and the Wolf,25,보류,낭송·해설,,해설자가 말하는 대목이 길다,812b5cc4-a7a0-3809-aa6c-290c9ebd79be
S,342,홍난파,가곡 <봉선화>,Gagok <Balsam Flower (Bongseonhwa)>,3,보류,연주 3종 못 모음,,홍난파 봉선화. MBID 는 S-TIER-MBID-NOTES.md 에 있다,
S,135,슈만,피아노 모음곡 <어린이의 정경>,Kinderszenen,18,제외,국제 시드와 중복,,곡 464 가 같은 작품이고 이미 발행됐다(전곡·트로이메라이 6건). 낱곡은 464 에 sector 로 더한다,
S,341,안익태,교향시 <한국 환상곡>,Symphonic Fantasia <Korea>,28,제외,MusicBrainz 에 work 없음,,안익태는 애국가 하나뿐,
S,347,윤이상,오케스트라를 위한 <예악>,Réak for Orchestra,16,제외,MusicBrainz 에 work 없음,,윤이상 예악,
S,348,윤이상,5개의 피아노를 위한 연습곡,5 Etüden für Klavier,15,제외,MusicBrainz 에 work 없음,,윤이상 5개의 피아노를 위한 연습곡,
S,343,홍난파,동요 <고향의 봄>,Children's Song <Spring in My Hometown>,2,제외,MusicBrainz 에 work 없음,,홍난파는 봉선화 하나뿐,
S,344,홍난파,바이올린 소품 <애수의 곡>,Violin Piece <Sorrow (Aesu-ui Gok)>,4,제외,MusicBrainz 에 work 없음,,홍난파 애수의 곡,
